iter_times,mean,var
1,4.0057e-05,0.0
2,4.0057e-05,0.0
3,4.0057e-05,0.0
4,4.0057e-05,0.0
5,4.0057e-05,0.0
6,4.0057e-05,0.0
7,4.0057e-05,0.0
8,4.0057e-05,0.0
9,4.0057e-05,0.0
10,3.92351457824974e-05,0.0
11,3.92351457824974e-05,0.0
12,3.92351457824974e-05,0.0
13,3.92351457824974e-05,0.0
14,3.92351457824974e-05,0.0
15,3.92351457824974e-05,0.0
16,3.92351457824974e-05,0.0
17,3.92351457824974e-05,0.0
18,3.92351457824974e-05,0.0
19,3.92351457824974e-05,0.0
20,3.921835158127907e-05,3.7552975552015105e-08
21,3.921835158127907e-05,3.7552975552015105e-08
22,3.921835158127907e-05,3.7552975552015105e-08
23,3.921835158127907e-05,3.7552975552015105e-08
24,3.921835158127907e-05,3.7552975552015105e-08
25,3.911307805111667e-05,2.7295174522648734e-07
26,3.900480374389692e-05,5.15060456386553e-07
27,3.900480374389692e-05,5.15060456386553e-07
28,3.900480374389692e-05,5.15060456386553e-07
29,3.900480374389692e-05,5.15060456386553e-07
30,3.900480374389692e-05,5.15060456386553e-07
31,3.900480374389692e-05,5.15060456386553e-07
32,3.900480374389692e-05,5.15060456386553e-07
33,3.900480374389692e-05,5.15060456386553e-07
34,3.879538696300165e-05,6.032996716097213e-07
35,3.879538696300165e-05,6.032996716097213e-07
36,3.879538696300165e-05,6.032996716097213e-07
37,3.879538696300165e-05,6.032996716097213e-07
38,3.84870885367238e-05,7.072960568323077e-07
39,3.8410006821083107e-05,7.795904826770507e-07
40,3.8410006821083107e-05,7.795904826770507e-07
41,3.8410006821083107e-05,7.795904826770507e-07
42,3.8410006821083107e-05,7.795904826770507e-07
43,3.8410006821083107e-05,7.795904826770507e-07
44,3.8410006821083107e-05,7.795904826770507e-07
45,3.837211777385856e-05,7.326526444973501e-07
46,3.837211777385856e-05,7.326526444973501e-07
47,3.837211777385856e-05,7.326526444973501e-07
48,3.837211777385856e-05,7.326526444973501e-07
49,3.837211777385856e-05,7.326526444973501e-07
50,3.837211777385856e-05,7.326526444973501e-07
51,3.837211777385856e-05,7.326526444973501e-07
52,3.837211777385856e-05,7.326526444973501e-07
53,3.837211777385856e-05,7.326526444973501e-07
54,3.837211777385856e-05,7.326526444973501e-07
55,3.837211777385856e-05,7.326526444973501e-07
56,3.837211777385856e-05,7.326526444973501e-07
57,3.837211777385856e-05,7.326526444973501e-07
58,3.837211777385856e-05,7.326526444973501e-07
59,3.837211777385856e-05,7.326526444973501e-07
60,3.837211777385856e-05,7.326526444973501e-07
61,3.837211777385856e-05,7.326526444973501e-07
62,3.837211777385856e-05,7.326526444973501e-07
63,3.837211777385856e-05,7.326526444973501e-07
64,3.837211777385856e-05,7.326526444973501e-07
65,3.837211777385856e-05,7.326526444973501e-07
66,3.837211777385856e-05,7.326526444973501e-07
67,3.837211777385856e-05,7.326526444973501e-07
68,3.837211777385856e-05,7.326526444973501e-07
69,3.837211777385856e-05,7.326526444973501e-07
70,3.837211777385856e-05,7.326526444973501e-07
71,3.837211777385856e-05,7.326526444973501e-07
72,3.837211777385856e-05,7.326526444973501e-07
73,3.837211777385856e-05,7.326526444973501e-07
74,3.837211777385856e-05,7.326526444973501e-07
75,3.837211777385856e-05,7.326526444973501e-07
76,3.837211777385856e-05,7.326526444973501e-07
77,3.837211777385856e-05,7.326526444973501e-07
78,3.837211777385856e-05,7.326526444973501e-07
79,3.837211777385856e-05,7.326526444973501e-07
80,3.837211777385856e-05,7.326526444973501e-07
81,3.837211777385856e-05,7.326526444973501e-07
82,3.837211777385856e-05,7.326526444973501e-07
83,3.837211777385856e-05,7.326526444973501e-07
84,3.837211777385856e-05,7.326526444973501e-07
85,3.837211777385856e-05,7.326526444973501e-07
86,3.837211777385856e-05,7.326526444973501e-07
87,3.837211777385856e-05,7.326526444973501e-07
88,3.837211777385856e-05,7.326526444973501e-07
89,3.837211777385856e-05,7.326526444973501e-07
90,3.837211777385856e-05,7.326526444973501e-07
91,3.837211777385856e-05,7.326526444973501e-07
92,3.837211777385856e-05,7.326526444973501e-07
93,3.837211777385856e-05,7.326526444973501e-07
94,3.837211777385856e-05,7.326526444973501e-07
95,3.837211777385856e-05,7.326526444973501e-07
96,3.837211777385856e-05,7.326526444973501e-07
97,3.837211777385856e-05,7.326526444973501e-07
98,3.837211777385856e-05,7.326526444973501e-07
99,3.837211777385856e-05,7.326526444973501e-07
100,3.837211777385856e-05,7.326526444973501e-07
101,3.837211777385856e-05,7.326526444973501e-07
102,3.836908261601487e-05,7.336365279513161e-07
103,3.836908261601487e-05,7.336365279513161e-07
104,3.836908261601487e-05,7.336365279513161e-07
105,3.836908261601487e-05,7.336365279513161e-07
106,3.836908261601487e-05,7.336365279513161e-07
107,3.836908261601487e-05,7.336365279513161e-07
108,3.836908261601487e-05,7.336365279513161e-07
109,3.836908261601487e-05,7.336365279513161e-07
110,3.836908261601487e-05,7.336365279513161e-07
111,3.836908261601487e-05,7.336365279513161e-07
112,3.836908261601487e-05,7.336365279513161e-07
113,3.836908261601487e-05,7.336365279513161e-07
114,3.836908261601487e-05,7.336365279513161e-07
115,3.836908261601487e-05,7.336365279513161e-07
116,3.836908261601487e-05,7.336365279513161e-07
117,3.836908261601487e-05,7.336365279513161e-07
118,3.836908261601487e-05,7.336365279513161e-07
119,3.836908261601487e-05,7.336365279513161e-07
120,3.836908261601487e-05,7.336365279513161e-07
121,3.836908261601487e-05,7.336365279513161e-07
122,3.836908261601487e-05,7.336365279513161e-07
123,3.836908261601487e-05,7.336365279513161e-07
124,3.836908261601487e-05,7.336365279513161e-07
125,3.836908261601487e-05,7.336365279513161e-07
126,3.836908261601487e-05,7.336365279513161e-07
127,3.827737635799769e-05,7.907299585247416e-07
128,3.827737635799769e-05,7.907299585247416e-07
129,3.827737635799769e-05,7.907299585247416e-07
130,3.827737635799769e-05,7.907299585247416e-07
131,3.827737635799769e-05,7.907299585247416e-07
132,3.827737635799769e-05,7.907299585247416e-07
133,3.827737635799769e-05,7.907299585247416e-07
134,3.827737635799769e-05,7.907299585247416e-07
135,3.827737635799769e-05,7.907299585247416e-07
136,3.827737635799769e-05,7.907299585247416e-07
137,3.827737635799769e-05,7.907299585247416e-07
138,3.827737635799769e-05,7.907299585247416e-07
139,3.810849478075091e-05,6.028969856905166e-07
140,3.810849478075091e-05,6.028969856905166e-07
141,3.810849478075091e-05,6.028969856905166e-07
142,3.810849478075091e-05,6.028969856905166e-07
143,3.810849478075091e-05,6.028969856905166e-07
144,3.810849478075091e-05,6.028969856905166e-07
145,3.810849478075091e-05,6.028969856905166e-07
146,3.810849478075091e-05,6.028969856905166e-07
147,3.810849478075091e-05,6.028969856905166e-07
148,3.810849478075091e-05,6.028969856905166e-07
149,3.810849478075091e-05,6.028969856905166e-07
150,3.810849478075091e-05,6.028969856905166e-07
151,3.810849478075091e-05,6.028969856905166e-07
152,3.810849478075091e-05,6.028969856905166e-07
153,3.810849478075091e-05,6.028969856905166e-07
154,3.810849478075091e-05,6.028969856905166e-07
155,3.810849478075091e-05,6.028969856905166e-07
156,3.810849478075091e-05,6.028969856905166e-07
157,3.810849478075091e-05,6.028969856905166e-07
158,3.810849478075091e-05,6.028969856905166e-07
159,3.810849478075091e-05,6.028969856905166e-07
160,3.810849478075091e-05,6.028969856905166e-07
161,3.810849478075091e-05,6.028969856905166e-07
162,3.810849478075091e-05,6.028969856905166e-07
163,3.810849478075091e-05,6.028969856905166e-07
164,3.810849478075091e-05,6.028969856905166e-07
165,3.810849478075091e-05,6.028969856905166e-07
166,3.810849478075091e-05,6.028969856905166e-07
167,3.810849478075091e-05,6.028969856905166e-07
168,3.810849478075091e-05,6.028969856905166e-07
169,3.810849478075091e-05,6.028969856905166e-07
170,3.810849478075091e-05,6.028969856905166e-07
171,3.810849478075091e-05,6.028969856905166e-07
172,3.810849478075091e-05,6.028969856905166e-07
173,3.810849478075091e-05,6.028969856905166e-07
174,3.810849478075091e-05,6.028969856905166e-07
175,3.810849478075091e-05,6.028969856905166e-07
176,3.796907793171984e-05,6.019106659295709e-07
177,3.796907793171984e-05,6.019106659295709e-07
178,3.796907793171984e-05,6.019106659295709e-07
179,3.796907793171984e-05,6.019106659295709e-07
180,3.796907793171984e-05,6.019106659295709e-07
181,3.796907793171984e-05,6.019106659295709e-07
182,3.796907793171984e-05,6.019106659295709e-07
183,3.796907793171984e-05,6.019106659295709e-07
184,3.796907793171984e-05,6.019106659295709e-07
185,3.796907793171984e-05,6.019106659295709e-07
186,3.796907793171984e-05,6.019106659295709e-07
187,3.796907793171984e-05,6.019106659295709e-07
188,3.796907793171984e-05,6.019106659295709e-07
189,3.796907793171984e-05,6.019106659295709e-07
190,3.796907793171984e-05,6.019106659295709e-07
191,3.796907793171984e-05,6.019106659295709e-07
192,3.796907793171984e-05,6.019106659295709e-07
193,3.796907793171984e-05,6.019106659295709e-07
194,3.796907793171984e-05,6.019106659295709e-07
195,3.796907793171984e-05,6.019106659295709e-07
196,3.796907793171984e-05,6.019106659295709e-07
197,3.796907793171984e-05,6.019106659295709e-07
198,3.796907793171984e-05,6.019106659295709e-07
199,3.796907793171984e-05,6.019106659295709e-07
200,3.796907793171984e-05,6.019106659295709e-07
201,3.796907793171984e-05,6.019106659295709e-07
202,3.796907793171984e-05,6.019106659295709e-07
203,3.796907793171984e-05,6.019106659295709e-07
204,3.796907793171984e-05,6.019106659295709e-07
205,3.796907793171984e-05,6.019106659295709e-07
206,3.796907793171984e-05,6.019106659295709e-07
207,3.796907793171984e-05,6.019106659295709e-07
208,3.796907793171984e-05,6.019106659295709e-07
209,3.796907793171984e-05,6.019106659295709e-07
210,3.796907793171984e-05,6.019106659295709e-07
211,3.796907793171984e-05,6.019106659295709e-07
212,3.796907793171984e-05,6.019106659295709e-07
213,3.796907793171984e-05,6.019106659295709e-07
214,3.796907793171984e-05,6.019106659295709e-07
215,3.796907793171984e-05,6.019106659295709e-07
216,3.796907793171984e-05,6.019106659295709e-07
217,3.796907793171984e-05,6.019106659295709e-07
218,3.796907793171984e-05,6.019106659295709e-07
219,3.796907793171984e-05,6.019106659295709e-07
220,3.796907793171984e-05,6.019106659295709e-07
221,3.796907793171984e-05,6.019106659295709e-07
222,3.796907793171984e-05,6.019106659295709e-07
223,3.796907793171984e-05,6.019106659295709e-07
224,3.796907793171984e-05,6.019106659295709e-07
225,3.796907793171984e-05,6.019106659295709e-07
226,3.796907793171984e-05,6.019106659295709e-07
227,3.796907793171984e-05,6.019106659295709e-07
228,3.796907793171984e-05,6.019106659295709e-07
229,3.796907793171984e-05,6.019106659295709e-07
230,3.796907793171984e-05,6.019106659295709e-07
231,3.796907793171984e-05,6.019106659295709e-07
232,3.796907793171984e-05,6.019106659295709e-07
233,3.796907793171984e-05,6.019106659295709e-07
234,3.796907793171984e-05,6.019106659295709e-07
235,3.796907793171984e-05,6.019106659295709e-07
236,3.796907793171984e-05,6.019106659295709e-07
237,3.796907793171984e-05,6.019106659295709e-07
238,3.796907793171984e-05,6.019106659295709e-07
239,3.796907793171984e-05,6.019106659295709e-07
240,3.796907793171984e-05,6.019106659295709e-07
241,3.796907793171984e-05,6.019106659295709e-07
242,3.796907793171984e-05,6.019106659295709e-07
243,3.796907793171984e-05,6.019106659295709e-07
244,3.796907793171984e-05,6.019106659295709e-07
245,3.796907793171984e-05,6.019106659295709e-07
246,3.796907793171984e-05,6.019106659295709e-07
247,3.796907793171984e-05,6.019106659295709e-07
248,3.796907793171984e-05,6.019106659295709e-07
249,3.796907793171984e-05,6.019106659295709e-07
250,3.796907793171984e-05,6.019106659295709e-07
251,3.796907793171984e-05,6.019106659295709e-07
252,3.796907793171984e-05,6.019106659295709e-07
253,3.796907793171984e-05,6.019106659295709e-07
254,3.796907793171984e-05,6.019106659295709e-07
255,3.796907793171984e-05,6.019106659295709e-07
256,3.796907793171984e-05,6.019106659295709e-07
257,3.796907793171984e-05,6.019106659295709e-07
258,3.796907793171984e-05,6.019106659295709e-07
259,3.796907793171984e-05,6.019106659295709e-07
260,3.796907793171984e-05,6.019106659295709e-07
261,3.796907793171984e-05,6.019106659295709e-07
262,3.796907793171984e-05,6.019106659295709e-07
263,3.796907793171984e-05,6.019106659295709e-07
264,3.796907793171984e-05,6.019106659295709e-07
265,3.796907793171984e-05,6.019106659295709e-07
266,3.796907793171984e-05,6.019106659295709e-07
267,3.796907793171984e-05,6.019106659295709e-07
268,3.796907793171984e-05,6.019106659295709e-07
269,3.796907793171984e-05,6.019106659295709e-07
270,3.796907793171984e-05,6.019106659295709e-07
271,3.796907793171984e-05,6.019106659295709e-07
272,3.796907793171984e-05,6.019106659295709e-07
273,3.796907793171984e-05,6.019106659295709e-07
274,3.796907793171984e-05,6.019106659295709e-07
275,3.796907793171984e-05,6.019106659295709e-07
276,3.796907793171984e-05,6.019106659295709e-07
277,3.796907793171984e-05,6.019106659295709e-07
278,3.796907793171984e-05,6.019106659295709e-07
279,3.796907793171984e-05,6.019106659295709e-07
280,3.796907793171984e-05,6.019106659295709e-07
281,3.796907793171984e-05,6.019106659295709e-07
282,3.796907793171984e-05,6.019106659295709e-07
283,3.796907793171984e-05,6.019106659295709e-07
284,3.796907793171984e-05,6.019106659295709e-07
285,3.796907793171984e-05,6.019106659295709e-07
286,3.796907793171984e-05,6.019106659295709e-07
287,3.796907793171984e-05,6.019106659295709e-07
288,3.796907793171984e-05,6.019106659295709e-07
289,3.796907793171984e-05,6.019106659295709e-07
290,3.796907793171984e-05,6.019106659295709e-07
291,3.796907793171984e-05,6.019106659295709e-07
292,3.796907793171984e-05,6.019106659295709e-07
293,3.796907793171984e-05,6.019106659295709e-07
294,3.796907793171984e-05,6.019106659295709e-07
295,3.796907793171984e-05,6.019106659295709e-07
296,3.796907793171984e-05,6.019106659295709e-07
297,3.796907793171984e-05,6.019106659295709e-07
298,3.796907793171984e-05,6.019106659295709e-07
299,3.796907793171984e-05,6.019106659295709e-07
300,3.796907793171984e-05,6.019106659295709e-07
301,3.796907793171984e-05,6.019106659295709e-07
302,3.796907793171984e-05,6.019106659295709e-07
303,3.796907793171984e-05,6.019106659295709e-07
304,3.796907793171984e-05,6.019106659295709e-07
305,3.796907793171984e-05,6.019106659295709e-07
306,3.796907793171984e-05,6.019106659295709e-07
307,3.796907793171984e-05,6.019106659295709e-07
308,3.796907793171984e-05,6.019106659295709e-07
309,3.796907793171984e-05,6.019106659295709e-07
310,3.796907793171984e-05,6.019106659295709e-07
311,3.796907793171984e-05,6.019106659295709e-07
312,3.796907793171984e-05,6.019106659295709e-07
313,3.796907793171984e-05,6.019106659295709e-07
314,3.796907793171984e-05,6.019106659295709e-07
315,3.796907793171984e-05,6.019106659295709e-07
316,3.796907793171984e-05,6.019106659295709e-07
317,3.796907793171984e-05,6.019106659295709e-07
318,3.796907793171984e-05,6.019106659295709e-07
319,3.796907793171984e-05,6.019106659295709e-07
320,3.796907793171984e-05,6.019106659295709e-07
321,3.796907793171984e-05,6.019106659295709e-07
322,3.796907793171984e-05,6.019106659295709e-07
323,3.796907793171984e-05,6.019106659295709e-07
324,3.796907793171984e-05,6.019106659295709e-07
325,3.796907793171984e-05,6.019106659295709e-07
326,3.796907793171984e-05,6.019106659295709e-07
327,3.796907793171984e-05,6.019106659295709e-07
328,3.796907793171984e-05,6.019106659295709e-07
329,3.796907793171984e-05,6.019106659295709e-07
330,3.796907793171984e-05,6.019106659295709e-07
331,3.796907793171984e-05,6.019106659295709e-07
332,3.796907793171984e-05,6.019106659295709e-07
333,3.796907793171984e-05,6.019106659295709e-07
334,3.796907793171984e-05,6.019106659295709e-07
335,3.796907793171984e-05,6.019106659295709e-07
336,3.796907793171984e-05,6.019106659295709e-07
337,3.796907793171984e-05,6.019106659295709e-07
338,3.796907793171984e-05,6.019106659295709e-07
339,3.796907793171984e-05,6.019106659295709e-07
340,3.796907793171984e-05,6.019106659295709e-07
341,3.796907793171984e-05,6.019106659295709e-07
342,3.796907793171984e-05,6.019106659295709e-07
343,3.796907793171984e-05,6.019106659295709e-07
344,3.796907793171984e-05,6.019106659295709e-07
345,3.796907793171984e-05,6.019106659295709e-07
346,3.796907793171984e-05,6.019106659295709e-07
347,3.796907793171984e-05,6.019106659295709e-07
348,3.796907793171984e-05,6.019106659295709e-07
349,3.796907793171984e-05,6.019106659295709e-07
350,3.796907793171984e-05,6.019106659295709e-07
351,3.796907793171984e-05,6.019106659295709e-07
352,3.796907793171984e-05,6.019106659295709e-07
353,3.796907793171984e-05,6.019106659295709e-07
354,3.796907793171984e-05,6.019106659295709e-07
355,3.796907793171984e-05,6.019106659295709e-07
356,3.796907793171984e-05,6.019106659295709e-07
357,3.796907793171984e-05,6.019106659295709e-07
358,3.796907793171984e-05,6.019106659295709e-07
359,3.796907793171984e-05,6.019106659295709e-07
360,3.796907793171984e-05,6.019106659295709e-07
361,3.796907793171984e-05,6.019106659295709e-07
362,3.796907793171984e-05,6.019106659295709e-07
363,3.796907793171984e-05,6.019106659295709e-07
364,3.796907793171984e-05,6.019106659295709e-07
365,3.796907793171984e-05,6.019106659295709e-07
366,3.796907793171984e-05,6.019106659295709e-07
367,3.796907793171984e-05,6.019106659295709e-07
368,3.796907793171984e-05,6.019106659295709e-07
369,3.796907793171984e-05,6.019106659295709e-07
370,3.796907793171984e-05,6.019106659295709e-07
371,3.796907793171984e-05,6.019106659295709e-07
372,3.796907793171984e-05,6.019106659295709e-07
373,3.796907793171984e-05,6.019106659295709e-07
374,3.796907793171984e-05,6.019106659295709e-07
375,3.796907793171984e-05,6.019106659295709e-07
376,3.796907793171984e-05,6.019106659295709e-07
377,3.796907793171984e-05,6.019106659295709e-07
378,3.796907793171984e-05,6.019106659295709e-07
379,3.796907793171984e-05,6.019106659295709e-07
380,3.796907793171984e-05,6.019106659295709e-07
381,3.796907793171984e-05,6.019106659295709e-07
382,3.796907793171984e-05,6.019106659295709e-07
383,3.796907793171984e-05,6.019106659295709e-07
384,3.796907793171984e-05,6.019106659295709e-07
385,3.796907793171984e-05,6.019106659295709e-07
386,3.796907793171984e-05,6.019106659295709e-07
387,3.796907793171984e-05,6.019106659295709e-07
388,3.796907793171984e-05,6.019106659295709e-07
389,3.796907793171984e-05,6.019106659295709e-07
390,3.796907793171984e-05,6.019106659295709e-07
391,3.796907793171984e-05,6.019106659295709e-07
392,3.796907793171984e-05,6.019106659295709e-07
393,3.796907793171984e-05,6.019106659295709e-07
394,3.796907793171984e-05,6.019106659295709e-07
395,3.796907793171984e-05,6.019106659295709e-07
396,3.796907793171984e-05,6.019106659295709e-07
397,3.796907793171984e-05,6.019106659295709e-07
398,3.796907793171984e-05,6.019106659295709e-07
399,3.796907793171984e-05,6.019106659295709e-07
400,3.796907793171984e-05,6.019106659295709e-07
