iter_times,ppm,dc_current,psrr
1,39.3,3.98e-05,69.64
2,39.3,3.98e-05,69.64
3,39.3,3.98e-05,69.64
4,39.3,3.98e-05,69.64
5,39.3,3.98e-05,69.64
6,39.3,3.98e-05,69.64
7,39.3,3.98e-05,69.64
8,39.3,3.98e-05,69.64
9,39.3,3.98e-05,69.64
10,39.3,3.98e-05,69.64
11,39.3,3.98e-05,69.64
12,39.3,3.98e-05,69.64
13,39.3,3.98e-05,69.64
14,39.3,3.98e-05,69.64
15,39.3,3.98e-05,69.64
16,39.3,3.98e-05,69.64
17,39.3,3.98e-05,69.64
18,39.3,3.98e-05,69.64
19,39.3,3.98e-05,69.64
20,39.3,3.98e-05,69.64
21,39.3,3.98e-05,69.64
22,39.3,3.98e-05,69.64
23,39.3,3.98e-05,69.64
24,39.3,3.98e-05,69.64
25,39.3,3.98e-05,69.64
26,39.3,3.98e-05,69.64
27,39.3,3.98e-05,69.64
28,39.3,3.98e-05,69.64
29,39.3,3.98e-05,69.64
30,39.3,3.98e-05,69.64
31,39.3,3.98e-05,69.64
32,39.3,3.98e-05,69.64
33,39.3,3.98e-05,69.64
34,39.3,3.98e-05,69.64
35,39.3,3.98e-05,69.64
36,39.3,3.98e-05,69.64
37,39.3,3.98e-05,69.64
38,39.3,3.98e-05,69.64
39,39.3,3.98e-05,69.64
40,39.3,3.98e-05,69.64
41,39.3,3.98e-05,69.64
42,39.3,3.98e-05,69.64
43,39.3,3.98e-05,69.64
44,39.3,3.98e-05,69.64
45,39.3,3.98e-05,69.64
46,39.3,3.98e-05,69.64
47,39.3,3.98e-05,69.64
48,39.3,3.98e-05,69.64
49,39.3,3.98e-05,69.64
50,39.3,3.98e-05,69.64
51,39.3,3.98e-05,69.64
52,39.3,3.98e-05,69.64
53,39.3,3.98e-05,69.64
54,39.3,3.98e-05,69.64
55,39.3,3.98e-05,69.64
56,39.3,3.98e-05,69.64
57,39.3,3.98e-05,69.64
58,39.3,3.98e-05,69.64
59,39.3,3.98e-05,69.64
60,39.3,3.98e-05,69.64
61,39.3,3.98e-05,69.64
62,39.3,3.98e-05,69.64
63,39.3,3.98e-05,69.64
64,39.3,3.98e-05,69.64
65,39.3,3.98e-05,69.64
66,39.3,3.98e-05,69.64
67,39.3,3.98e-05,69.64
68,39.3,3.98e-05,69.64
69,39.3,3.98e-05,69.64
70,39.3,3.98e-05,69.64
71,39.3,3.98e-05,69.64
72,39.3,3.98e-05,69.64
73,39.3,3.98e-05,69.64
74,39.3,3.98e-05,69.64
75,39.3,3.98e-05,69.64
76,39.3,3.98e-05,69.64
77,39.3,3.98e-05,69.64
78,39.3,3.98e-05,69.64
79,39.3,3.98e-05,69.64
80,39.3,3.98e-05,69.64
81,39.3,3.98e-05,69.64
82,39.3,3.98e-05,69.64
83,39.3,3.98e-05,69.64
84,39.3,3.98e-05,69.64
85,39.3,3.98e-05,69.64
86,39.3,3.98e-05,69.64
87,39.3,3.98e-05,69.64
88,39.3,3.98e-05,69.64
89,39.3,3.98e-05,69.64
90,39.3,3.98e-05,69.64
91,39.3,3.98e-05,69.64
92,39.3,3.98e-05,69.64
93,39.3,3.98e-05,69.64
94,39.3,3.98e-05,69.64
95,17.605905679523573,2.6450748841316883e-05,74.98554701098857
96,17.605905679523573,2.6450748841316883e-05,74.98554701098857
97,17.605905679523573,2.6450748841316883e-05,74.98554701098857
98,17.605905679523573,2.6450748841316883e-05,74.98554701098857
99,17.605905679523573,2.6450748841316883e-05,74.98554701098857
100,17.605905679523573,2.6450748841316883e-05,74.98554701098857
101,17.605905679523573,2.6450748841316883e-05,74.98554701098857
102,17.605905679523573,2.6450748841316883e-05,74.98554701098857
103,16.19925108726486,4.6908204748427e-05,61.99331566747461
104,16.19925108726486,4.6908204748427e-05,61.99331566747461
105,16.19925108726486,4.6908204748427e-05,61.99331566747461
106,16.19925108726486,4.6908204748427e-05,61.99331566747461
107,16.19925108726486,4.6908204748427e-05,61.99331566747461
108,16.19925108726486,4.6908204748427e-05,61.99331566747461
109,16.19925108726486,4.6908204748427e-05,61.99331566747461
110,16.19925108726486,4.6908204748427e-05,61.99331566747461
111,16.19925108726486,4.6908204748427e-05,61.99331566747461
112,16.19925108726486,4.6908204748427e-05,61.99331566747461
113,16.19925108726486,4.6908204748427e-05,61.99331566747461
114,16.19925108726486,4.6908204748427e-05,61.99331566747461
115,16.19925108726486,4.6908204748427e-05,61.99331566747461
116,16.19925108726486,4.6908204748427e-05,61.99331566747461
117,16.19925108726486,4.6908204748427e-05,61.99331566747461
118,16.19925108726486,4.6908204748427e-05,61.99331566747461
119,16.19925108726486,4.6908204748427e-05,61.99331566747461
120,16.19925108726486,4.6908204748427e-05,61.99331566747461
121,16.19925108726486,4.6908204748427e-05,61.99331566747461
122,16.19925108726486,4.6908204748427e-05,61.99331566747461
123,16.19925108726486,4.6908204748427e-05,61.99331566747461
124,16.19925108726486,4.6908204748427e-05,61.99331566747461
125,16.19925108726486,4.6908204748427e-05,61.99331566747461
126,16.19925108726486,4.6908204748427e-05,61.99331566747461
127,16.19925108726486,4.6908204748427e-05,61.99331566747461
128,16.19925108726486,4.6908204748427e-05,61.99331566747461
129,16.19925108726486,4.6908204748427e-05,61.99331566747461
130,16.19925108726486,4.6908204748427e-05,61.99331566747461
131,16.19925108726486,4.6908204748427e-05,61.99331566747461
132,16.19925108726486,4.6908204748427e-05,61.99331566747461
133,16.19925108726486,4.6908204748427e-05,61.99331566747461
134,16.19925108726486,4.6908204748427e-05,61.99331566747461
135,16.19925108726486,4.6908204748427e-05,61.99331566747461
136,16.19925108726486,4.6908204748427e-05,61.99331566747461
137,16.19925108726486,4.6908204748427e-05,61.99331566747461
