iter_times,ppm,dc_current,psrr
151,17.58680391126839,2.8420972946091456e-05,76.72262591283082
152,17.58680391126839,2.8420972946091456e-05,76.72262591283082
153,17.58680391126839,2.8420972946091456e-05,76.72262591283082
154,17.58680391126839,2.8420972946091456e-05,76.72262591283082
155,17.58680391126839,2.8420972946091456e-05,76.72262591283082
156,17.58680391126839,2.8420972946091456e-05,76.72262591283082
157,17.58680391126839,2.8420972946091456e-05,76.72262591283082
158,17.58680391126839,2.8420972946091456e-05,76.72262591283082
159,17.58680391126839,2.8420972946091456e-05,76.72262591283082
160,17.58680391126839,2.8420972946091456e-05,76.72262591283082
161,17.58680391126839,2.8420972946091456e-05,76.72262591283082
162,17.58680391126839,2.8420972946091456e-05,76.72262591283082
163,17.58680391126839,2.8420972946091456e-05,76.72262591283082
164,17.58680391126839,2.8420972946091456e-05,76.72262591283082
165,17.58680391126839,2.8420972946091456e-05,76.72262591283082
166,17.58680391126839,2.8420972946091456e-05,76.72262591283082
167,17.58680391126839,2.8420972946091456e-05,76.72262591283082
168,17.58680391126839,2.8420972946091456e-05,76.72262591283082
169,17.58680391126839,2.8420972946091456e-05,76.72262591283082
170,17.58680391126839,2.8420972946091456e-05,76.72262591283082
171,17.58680391126839,2.8420972946091456e-05,76.72262591283082
172,17.58680391126839,2.8420972946091456e-05,76.72262591283082
173,17.58680391126839,2.8420972946091456e-05,76.72262591283082
174,17.58680391126839,2.8420972946091456e-05,76.72262591283082
175,17.58680391126839,2.8420972946091456e-05,76.72262591283082
176,17.58680391126839,2.8420972946091456e-05,76.72262591283082
177,17.58680391126839,2.8420972946091456e-05,76.72262591283082
178,17.58680391126839,2.8420972946091456e-05,76.72262591283082
179,17.58680391126839,2.8420972946091456e-05,76.72262591283082
180,17.58680391126839,2.8420972946091456e-05,76.72262591283082
181,17.58680391126839,2.8420972946091456e-05,76.72262591283082
182,17.58680391126839,2.8420972946091456e-05,76.72262591283082
183,17.58680391126839,2.8420972946091456e-05,76.72262591283082
184,17.58680391126839,2.8420972946091456e-05,76.72262591283082
185,17.58680391126839,2.8420972946091456e-05,76.72262591283082
186,17.58680391126839,2.8420972946091456e-05,76.72262591283082
187,17.58680391126839,2.8420972946091456e-05,76.72262591283082
188,17.58680391126839,2.8420972946091456e-05,76.72262591283082
189,17.58680391126839,2.8420972946091456e-05,76.72262591283082
190,17.58680391126839,2.8420972946091456e-05,76.72262591283082
191,17.58680391126839,2.8420972946091456e-05,76.72262591283082
192,17.58680391126839,2.8420972946091456e-05,76.72262591283082
193,17.58680391126839,2.8420972946091456e-05,76.72262591283082
194,17.58680391126839,2.8420972946091456e-05,76.72262591283082
195,17.58680391126839,2.8420972946091456e-05,76.72262591283082
196,17.58680391126839,2.8420972946091456e-05,76.72262591283082
197,17.58680391126839,2.8420972946091456e-05,76.72262591283082
198,17.58680391126839,2.8420972946091456e-05,76.72262591283082
199,17.58680391126839,2.8420972946091456e-05,76.72262591283082
