iter_times,ppm,dc_current,psrr
1,39.3,3.98e-05,69.64
2,39.3,3.98e-05,69.64
3,39.3,3.98e-05,69.64
4,39.3,3.98e-05,69.64
5,39.3,3.98e-05,69.64
6,39.3,3.98e-05,69.64
7,39.3,3.98e-05,69.64
8,39.3,3.98e-05,69.64
9,39.3,3.98e-05,69.64
10,39.3,3.98e-05,69.64
11,39.3,3.98e-05,69.64
12,39.3,3.98e-05,69.64
13,39.3,3.98e-05,69.64
14,39.3,3.98e-05,69.64
15,39.3,3.98e-05,69.64
16,39.3,3.98e-05,69.64
17,39.3,3.98e-05,69.64
18,39.3,3.98e-05,69.64
19,39.3,3.98e-05,69.64
20,39.3,3.98e-05,69.64
21,39.3,3.98e-05,69.64
22,39.3,3.98e-05,69.64
23,39.3,3.98e-05,69.64
24,39.3,3.98e-05,69.64
25,39.3,3.98e-05,69.64
26,39.3,3.98e-05,69.64
27,39.3,3.98e-05,69.64
28,39.3,3.98e-05,69.64
29,39.3,3.98e-05,69.64
30,39.3,3.98e-05,69.64
31,39.3,3.98e-05,69.64
32,39.3,3.98e-05,69.64
33,39.3,3.98e-05,69.64
34,39.3,3.98e-05,69.64
35,39.3,3.98e-05,69.64
36,39.3,3.98e-05,69.64
37,39.3,3.98e-05,69.64
38,39.3,3.98e-05,69.64
39,39.3,3.98e-05,69.64
40,39.3,3.98e-05,69.64
41,39.3,3.98e-05,69.64
42,39.3,3.98e-05,69.64
43,39.3,3.98e-05,69.64
44,39.3,3.98e-05,69.64
45,39.3,3.98e-05,69.64
46,39.3,3.98e-05,69.64
47,39.3,3.98e-05,69.64
48,39.3,3.98e-05,69.64
49,39.3,3.98e-05,69.64
50,39.3,3.98e-05,69.64
51,39.3,3.98e-05,69.64
52,39.3,3.98e-05,69.64
53,39.3,3.98e-05,69.64
54,39.3,3.98e-05,69.64
55,39.3,3.98e-05,69.64
56,39.3,3.98e-05,69.64
57,39.3,3.98e-05,69.64
58,39.3,3.98e-05,69.64
59,39.3,3.98e-05,69.64
60,39.3,3.98e-05,69.64
61,39.3,3.98e-05,69.64
62,39.3,3.98e-05,69.64
63,39.3,3.98e-05,69.64
64,39.3,3.98e-05,69.64
65,39.3,3.98e-05,69.64
66,39.3,3.98e-05,69.64
67,39.3,3.98e-05,69.64
68,39.3,3.98e-05,69.64
69,39.3,3.98e-05,69.64
70,39.3,3.98e-05,69.64
71,39.3,3.98e-05,69.64
72,39.3,3.98e-05,69.64
73,39.3,3.98e-05,69.64
74,39.3,3.98e-05,69.64
75,39.3,3.98e-05,69.64
76,39.3,3.98e-05,69.64
77,17.522843205276967,3.5292629558744986e-05,78.91901228291336
78,17.522843205276967,3.5292629558744986e-05,78.91901228291336
79,17.522843205276967,3.5292629558744986e-05,78.91901228291336
80,17.522843205276967,3.5292629558744986e-05,78.91901228291336
81,17.522843205276967,3.5292629558744986e-05,78.91901228291336
82,17.522843205276967,3.5292629558744986e-05,78.91901228291336
83,17.522843205276967,3.5292629558744986e-05,78.91901228291336
84,17.522843205276967,3.5292629558744986e-05,78.91901228291336
85,17.522843205276967,3.5292629558744986e-05,78.91901228291336
86,17.522843205276967,3.5292629558744986e-05,78.91901228291336
87,17.522843205276967,3.5292629558744986e-05,78.91901228291336
88,17.522843205276967,3.5292629558744986e-05,78.91901228291336
89,17.522843205276967,3.5292629558744986e-05,78.91901228291336
90,17.522843205276967,3.5292629558744986e-05,78.91901228291336
91,17.522843205276967,3.5292629558744986e-05,78.91901228291336
92,17.522843205276967,3.5292629558744986e-05,78.91901228291336
93,17.522843205276967,3.5292629558744986e-05,78.91901228291336
94,17.522843205276967,3.5292629558744986e-05,78.91901228291336
95,17.522843205276967,3.5292629558744986e-05,78.91901228291336
96,17.522843205276967,3.5292629558744986e-05,78.91901228291336
97,17.522843205276967,3.5292629558744986e-05,78.91901228291336
98,17.522843205276967,3.5292629558744986e-05,78.91901228291336
99,17.522843205276967,3.5292629558744986e-05,78.91901228291336
100,17.522843205276967,3.5292629558744986e-05,78.91901228291336
101,17.522843205276967,3.5292629558744986e-05,78.91901228291336
102,17.522843205276967,3.5292629558744986e-05,78.91901228291336
103,17.522843205276967,3.5292629558744986e-05,78.91901228291336
104,17.522843205276967,3.5292629558744986e-05,78.91901228291336
105,17.522843205276967,3.5292629558744986e-05,78.91901228291336
106,17.522843205276967,3.5292629558744986e-05,78.91901228291336
107,17.522843205276967,3.5292629558744986e-05,78.91901228291336
108,17.522843205276967,3.5292629558744986e-05,78.91901228291336
109,17.522843205276967,3.5292629558744986e-05,78.91901228291336
110,17.522843205276967,3.5292629558744986e-05,78.91901228291336
111,17.522843205276967,3.5292629558744986e-05,78.91901228291336
112,17.522843205276967,3.5292629558744986e-05,78.91901228291336
113,17.522843205276967,3.5292629558744986e-05,78.91901228291336
114,17.522843205276967,3.5292629558744986e-05,78.91901228291336
115,17.522843205276967,3.5292629558744986e-05,78.91901228291336
116,17.522843205276967,3.5292629558744986e-05,78.91901228291336
117,17.522843205276967,3.5292629558744986e-05,78.91901228291336
118,17.522843205276967,3.5292629558744986e-05,78.91901228291336
119,17.522843205276967,3.5292629558744986e-05,78.91901228291336
120,17.522843205276967,3.5292629558744986e-05,78.91901228291336
121,17.522843205276967,3.5292629558744986e-05,78.91901228291336
122,17.522843205276967,3.5292629558744986e-05,78.91901228291336
123,17.522843205276967,3.5292629558744986e-05,78.91901228291336
124,17.522843205276967,3.5292629558744986e-05,78.91901228291336
125,17.522843205276967,3.5292629558744986e-05,78.91901228291336
126,17.522843205276967,3.5292629558744986e-05,78.91901228291336
127,17.522843205276967,3.5292629558744986e-05,78.91901228291336
128,17.522843205276967,3.5292629558744986e-05,78.91901228291336
